Over,ScoreA,ScoreB
1,0/0,2/0
2,5/0,7/0
3,9/0,9/0
4,22/0,12/0
5,28/0,14/1
6,38/0,16/1
7,44/0,27/1
8,50/0,32/1
9,52/0,42/1
10,65/0,45/1
11,69/0,51/1
12,73/0,53/1
13,83/0,62/1
14,83/0,65/1
15,94/0,80/1
16,96/0,82/1
17,101/0,85/1
18,104/0,90/1
19,112/0,95/1
20,116/0,101/1
21,122/1,108/1
22,127/1,109/1
23,132/1,113/1
24,134/1,115/1
25,135/2,120/1
26,140/2,122/1
27,143/2,131/1
28,148/2,135/1
29,153/2,138/1
30,156/3,142/1
31,160/3,147/1
32,167/3,152/2
33,171/3,153/2
34,173/3,161/2
35,180/3,167/2
36,183/4,171/2
37,185/4,174/2
38,192/5,177/2
39,198/5,182/2
40,200/6,185/2
41,202/6,190/2
42,208/6,196/2
43,213/6,200/2
44,217/6,209/2
45,219/8,213/2
46,226/8,219/2
47,229/8,229/2
48,236/10,240/2
