Over,ScoreA,ScoreB
1,1/0,4/0
2,7/0,13/0
3,16/0,19/0
4,27/0,24/0
5,29/0,31/0
6,38/0,32/1
7,39/0,34/1
8,44/0,39/1
9,50/0,40/1
10,60/0,49/1
11,60/0,50/1
12,61/1,56/1
13,61/1,61/1
14,68/1,67/1
15,69/1,73/1
16,73/1,78/2
17,75/1,82/2
18,80/1,85/2
19,80/2,87/2
20,90/2,99/2
21,92/2,102/2
22,96/2,106/2
23,100/2,111/2
24,103/2,115/2
25,107/3,127/2
26,108/3,129/3
27,109/3,134/3
28,114/3,137/3
29,121/3,143/3
30,124/3,147/3
31,137/3,158/3
32,141/3,163/3
33,145/3,166/3
34,150/3,171/3
35,155/3,173/3
36,159/4,178/3
37,169/4,180/3
38,171/5,192/4
39,173/5,193/4
40,177/5,197/4
41,183/5,202/4
42,191/5,207/4
43,196/5,209/4
44,199/5,218/4
45,205/5,nil
46,206/6,nil
47,209/7,nil
48,212/8,nil
49,215/8,nil
50,216/10,nil
