Over,ScoreA,ScoreB
1,5/1,5/0
2,5/1,11/0
3,9/1,11/1
4,15/1,17/1
5,15/1,20/1
6,21/1,25/1
7,27/1,26/1
8,30/1,29/1
9,38/1,33/1
10,47/1,44/1
11,47/3,45/1
12,53/3,50/1
13,57/3,59/1
14,61/3,63/1
15,63/3,74/1
16,67/3,81/1
17,72/3,82/1
18,75/3,92/1
19,78/3,93/1
20,87/3,96/2
21,94/3,106/2
22,97/3,108/2
23,101/4,109/2
24,104/5,110/2
25,108/5,113/2
26,111/5,116/2
27,114/5,119/3
28,115/5,124/3
29,119/5,128/3
30,123/7,129/3
31,124/7,132/3
32,125/7,137/3
33,129/7,141/3
34,135/7,143/3
35,139/7,152/3
36,142/7,162/3
37,143/8,166/5
38,149/8,178/6
39,160/8,185/7
40,162/8,188/7
41,164/8,195/7
42,171/8,nil
43,173/8,nil
44,177/8,nil
45,179/9,nil
46,186/9,nil
47,190/9,nil
48,192/9,nil
49,192/10,nil
