Over,ScoreA,ScoreB
1,4/0,1/0
2,10/0,1/0
3,15/0,1/0
4,16/0,6/0
5,16/0,11/0
6,17/1,13/0
7,22/1,18/0
8,26/1,29/0
9,34/1,33/0
10,36/1,38/0
11,40/1,49/0
12,49/1,51/1
13,52/2,54/2
14,54/2,55/2
15,60/2,60/2
16,70/2,67/2
17,73/2,74/2
18,77/2,75/2
19,82/2,87/2
20,96/2,89/2
21,96/2,99/2
22,99/2,110/2
23,109/2,114/2
24,112/2,118/2
25,118/2,121/2
26,119/2,124/2
27,123/2,128/2
28,125/2,133/2
29,133/2,138/2
30,137/2,144/2
31,142/2,153/2
32,147/2,160/2
33,152/2,175/2
34,157/2,180/2
35,162/2,186/2
36,170/2,193/2
37,182/3,201/2
38,185/3,207/2
39,204/3,213/2
40,208/3,217/2
41,213/3,229/2
42,219/3,237/2
43,227/3,244/2
44,231/4,252/2
45,236/4,262/2
46,242/5,268/3
47,250/5,271/3
48,264/5,276/4
49,271/6,280/4
50,279/7,nil
