Over,ScoreA,ScoreB
1,4/1,7/0
2,6/1,10/0
3,9/1,16/0
4,9/1,27/0
5,19/2,36/0
6,23/2,41/0
7,23/2,53/0
8,30/2,62/0
9,30/2,64/0
10,32/2,73/0
11,34/3,80/0
12,36/3,87/0
13,40/3,90/0
14,41/3,98/0
15,48/3,106/0
16,50/4,109/0
17,59/4,112/0
18,60/4,113/0
19,68/4,116/1
20,70/4,119/1
21,70/4,124/1
22,75/4,131/1
23,77/5,134/1
24,78/5,137/1
25,88/5,140/1
26,89/5,144/1
27,93/5,147/1
28,96/6,152/1
29,103/6,155/1
30,108/7,164/1
31,115/7,171/1
32,116/7,178/1
33,121/7,186/1
34,127/7,191/1
35,133/7,194/1
36,137/7,198/1
37,144/7,207/1
38,149/7,211/1
39,155/7,222/1
40,156/7,229/1
41,159/7,nil
42,161/7,nil
43,163/7,nil
44,169/7,nil
45,177/7,nil
46,186/7,nil
47,200/7,nil
48,203/8,nil
49,213/8,nil
50,224/9,nil
