Over,ScoreA,ScoreB
1,10/0,2/0
2,14/0,8/0
3,24/0,11/0
4,32/0,22/0
5,36/0,25/0
6,38/0,29/0
7,42/0,34/0
8,42/0,36/0
9,53/0,41/0
10,55/0,46/0
11,56/0,51/0
12,62/0,57/0
13,64/0,58/0
14,67/0,65/0
15,69/0,70/1
16,72/0,73/1
17,74/0,82/2
18,82/0,84/3
19,83/0,90/3
20,86/0,95/3
21,91/0,100/3
22,97/0,107/3
23,99/1,112/3
24,101/1,117/3
25,109/1,130/3
26,113/1,137/3
27,117/2,145/3
28,121/3,148/3
29,123/3,157/3
30,124/4,165/3
31,126/4,169/3
32,129/4,171/5
33,138/4,174/5
34,140/4,179/5
35,144/4,182/5
36,150/4,188/6
37,152/4,191/7
38,163/4,198/8
39,166/4,206/8
40,172/4,217/8
41,178/4,222/9
42,186/4,223/9
43,201/4,228/9
44,219/4,231/9
45,232/4,232/10
46,249/4,nil
47,252/5,nil
48,268/5,nil
49,287/5,nil
50,302/5,nil
