Over,ScoreA,ScoreB
1,2/0,0/0
2,9/0,4/0
3,13/1,9/0
4,20/2,13/1
5,22/2,16/1
6,25/2,19/1
7,25/3,22/1
8,33/3,25/1
9,33/3,32/1
10,34/3,37/1
11,36/3,40/1
12,38/3,43/2
13,48/3,52/2
14,48/3,57/2
15,55/3,59/2
16,58/3,59/2
17,63/3,60/3
18,71/3,64/3
19,77/3,77/3
20,81/3,82/3
21,91/3,88/3
22,95/3,103/3
23,102/3,120/3
24,115/3,121/6
25,121/3,124/6
26,123/3,127/6
27,126/3,138/6
28,133/3,144/7
29,140/3,160/8
30,144/3,162/9
31,153/3,nil
32,163/3,nil
33,167/3,nil
34,170/3,nil
35,176/3,nil
36,178/3,nil
37,181/5,nil
38,190/5,nil
39,196/5,nil
40,203/5,nil
41,215/5,nil
42,219/5,nil
43,222/5,nil
44,229/5,nil
45,233/6,nil
46,239/6,nil
47,242/7,nil
48,250/8,nil
49,254/9,nil
50,265/10,nil
