Over,ScoreA,ScoreB
1,6/0,0/0
2,11/0,1/0
3,18/0,8/0
4,21/0,14/0
5,25/0,18/0
6,29/0,22/0
7,40/0,24/0
8,40/0,35/0
9,47/0,43/0
10,48/0,47/0
11,49/1,56/0
12,61/1,60/1
13,64/1,64/1
14,65/1,67/1
15,68/1,69/1
16,74/1,76/1
17,78/1,79/1
18,86/1,80/3
19,91/1,86/3
20,97/1,90/3
21,100/1,93/3
22,102/2,93/3
23,106/3,97/3
24,108/3,104/3
25,112/3,107/3
26,117/3,109/3
27,121/3,118/3
28,131/3,127/3
29,137/3,129/3
30,139/4,135/3
31,142/4,137/3
32,147/4,151/3
33,150/4,155/4
34,154/4,160/4
35,156/4,161/5
36,158/5,165/5
37,160/6,170/5
38,161/6,174/6
39,163/6,176/6
40,165/6,184/6
41,170/6,187/6
42,177/6,196/6
43,181/6,200/6
44,184/6,203/6
45,194/6,205/7
46,201/7,208/7
47,205/7,215/8
48,211/7,222/8
49,221/8,230/8
50,231/9,230/10
