Over,ScoreA,ScoreB
1,0/0,1/0
2,5/0,11/0
3,10/1,20/0
4,13/1,28/0
5,14/1,35/1
6,16/1,41/1
7,16/1,47/1
8,20/2,52/1
9,23/2,67/1
10,29/2,68/1
11,34/2,75/1
12,43/2,77/1
13,46/2,80/1
14,50/2,82/1
15,54/2,85/1
16,60/2,92/1
17,67/3,94/2
18,73/3,95/3
19,82/3,100/3
20,84/3,104/3
21,87/3,107/3
22,90/4,110/3
23,95/4,115/3
24,100/4,116/3
25,105/4,118/3
26,106/4,122/3
27,109/4,127/3
28,114/4,131/3
29,117/4,138/3
30,121/4,146/3
31,124/5,150/3
32,128/5,156/3
33,131/5,159/3
34,134/5,167/3
35,139/5,168/4
36,142/5,177/4
37,154/5,179/4
38,159/5,186/4
39,164/6,193/4
40,169/6,197/4
41,176/6,199/4
42,178/6,207/4
43,181/6,212/4
44,185/7,224/4
45,194/7,233/4
46,211/7,239/4
47,216/8,247/4
48,223/8,253/4
49,235/9,nil
50,252/9,nil
