Over,ScoreA,ScoreB
1,0/0,1/0
2,5/0,5/0
3,8/0,13/0
4,16/0,18/0
5,19/0,19/0
6,24/1,26/0
7,27/2,26/2
8,33/2,34/2
9,38/2,34/2
10,41/2,39/2
11,45/2,42/2
12,49/2,46/2
13,50/2,47/2
14,53/2,53/2
15,59/2,59/2
16,62/2,63/2
17,65/2,66/2
18,68/2,77/2
19,70/2,82/2
20,71/2,91/2
21,74/2,92/2
22,80/2,99/2
23,83/2,105/2
24,86/2,108/2
25,92/2,116/2
26,96/4,123/2
27,99/4,123/5
28,101/5,133/5
29,107/5,nil
30,111/5,nil
31,114/5,nil
32,117/5,nil
33,118/6,nil
34,119/6,nil
35,124/6,nil
36,128/6,nil
37,131/7,nil
38,132/8,nil
39,132/10,nil
