Over,ScoreA,ScoreB
1,1/0,1/0
2,6/0,3/0
3,7/0,5/0
4,9/0,6/0
5,13/0,11/0
6,17/0,20/0
7,18/0,29/0
8,21/0,37/0
9,23/0,45/0
10,26/0,54/0
11,29/0,60/0
12,38/0,66/0
13,42/0,68/0
14,46/0,75/0
15,53/0,76/0
16,58/0,79/0
17,59/1,85/0
18,61/1,90/0
19,63/2,97/0
20,65/2,103/0
21,73/2,105/0
22,74/2,109/0
23,77/2,113/0
24,81/2,119/0
25,86/3,121/0
26,90/3,124/0
27,94/4,130/1
28,96/5,135/1
29,97/5,137/1
30,101/5,150/1
31,104/5,159/1
32,111/5,163/2
33,111/5,168/2
34,115/5,170/3
35,118/5,181/3
36,126/5,185/3
37,127/6,190/3
38,133/7,193/3
39,134/7,197/3
40,141/7,nil
41,150/7,nil
42,154/7,nil
43,159/7,nil
44,169/7,nil
45,176/8,nil
46,178/8,nil
47,180/8,nil
48,183/8,nil
49,189/8,nil
50,194/9,nil
