Over,ScoreA,ScoreB
1,2/0,3/0
2,10/0,5/1
3,12/0,12/1
4,18/1,21/1
5,19/2,23/1
6,24/2,23/1
7,25/2,30/1
8,35/2,45/1
9,42/2,47/1
10,44/2,58/1
11,48/2,62/2
12,55/2,68/2
13,59/2,72/2
14,64/2,73/2
15,71/2,73/4
16,73/3,74/4
17,75/3,75/4
18,83/3,77/4
19,86/3,77/4
20,89/3,78/4
21,91/3,84/4
22,96/3,86/4
23,105/3,91/4
24,112/3,99/4
25,114/3,106/4
26,119/3,112/5
27,121/4,121/5
28,124/4,126/5
29,128/4,128/5
30,136/4,132/5
31,140/4,132/7
32,143/4,133/7
33,147/4,135/7
34,149/4,136/9
35,156/4,140/9
36,163/4,158/10
37,168/4,nil
38,172/4,nil
39,174/4,nil
40,177/5,nil
41,182/5,nil
42,190/5,nil
43,202/5,nil
44,203/5,nil
45,217/5,nil
46,230/5,nil
47,240/5,nil
48,250/5,nil
49,265/5,nil
50,285/6,nil
