Over,ScoreA,ScoreB
1,0/0,4/0
2,2/0,8/0
3,3/0,9/0
4,5/1,19/0
5,13/1,25/0
6,15/1,29/0
7,18/1,41/0
8,23/1,49/0
9,32/1,50/0
10,34/1,59/0
11,36/2,62/0
12,37/2,69/0
13,40/2,77/0
14,47/2,87/0
15,50/2,90/0
16,57/2,99/0
17,63/2,100/2
18,67/2,103/2
19,74/2,107/2
20,76/2,112/2
21,84/2,124/2
22,87/2,135/2
23,89/3,137/3
24,99/3,143/3
25,108/3,153/3
26,113/3,nil
27,118/3,nil
28,119/3,nil
29,125/3,nil
30,134/3,nil
31,139/4,nil
32,145/4,nil
33,150/4,nil
34,153/4,nil
35,159/4,nil
36,165/4,nil
37,172/4,nil
38,177/4,nil
39,183/4,nil
40,192/4,nil
41,199/4,nil
42,204/5,nil
43,209/5,nil
44,219/5,nil
45,229/6,nil
46,235/7,nil
47,244/8,nil
48,258/8,nil
49,267/9,nil
50,272/9,nil
