Over,ScoreA,ScoreB
1,1/0,5/0
2,4/0,9/0
3,6/0,23/0
4,14/0,31/0
5,16/1,36/0
6,28/1,38/0
7,33/1,43/0
8,40/1,46/0
9,45/1,49/0
10,46/2,52/0
11,48/2,54/1
12,50/2,56/1
13,53/2,64/1
14,58/2,69/1
15,62/2,73/1
16,67/2,76/1
17,74/2,82/1
18,79/2,86/2
19,85/2,94/2
20,91/2,96/2
21,95/2,99/2
22,103/2,109/2
23,106/2,113/3
24,113/2,119/3
25,117/2,126/3
26,125/2,132/3
27,128/2,140/3
28,133/2,144/4
29,140/2,150/4
30,147/2,155/4
31,152/2,159/4
32,160/2,174/4
33,164/2,178/4
34,172/2,184/4
35,178/2,190/4
36,184/2,197/4
37,196/2,203/5
38,204/2,204/5
39,206/3,206/6
40,212/3,207/7
41,227/3,210/7
42,236/3,218/7
43,247/3,228/7
44,259/3,232/8
45,271/3,233/9
46,276/4,240/10
47,281/4,nil
48,290/4,nil
49,296/5,nil
50,309/5,nil
