Over,ScoreA,ScoreB
1,5/0,2/0
2,13/0,2/0
3,13/0,8/0
4,20/0,13/0
5,28/0,16/0
6,31/1,26/0
7,42/1,28/0
8,47/1,29/0
9,59/1,35/0
10,65/1,42/0
11,66/1,48/0
12,73/1,64/0
13,76/1,68/0
14,78/2,72/0
15,79/2,78/1
16,82/2,82/1
17,89/2,86/1
18,92/2,88/2
19,102/2,91/2
20,105/2,95/2
21,106/3,96/3
22,109/3,98/4
23,113/3,104/4
24,117/3,106/4
25,123/3,109/4
26,127/3,110/4
27,132/3,112/4
28,142/3,116/4
29,150/3,116/4
30,154/3,119/4
31,156/3,128/4
32,160/3,130/4
33,164/3,134/4
34,170/3,140/4
35,174/3,149/4
36,177/3,159/4
37,185/3,167/4
38,193/3,169/5
39,203/3,174/5
40,209/3,178/5
41,213/4,182/5
42,218/4,189/5
43,224/4,203/5
44,226/4,211/6
45,237/4,223/6
46,240/5,232/7
47,245/5,242/8
48,260/5,249/8
49,267/6,260/8
50,277/7,266/9
