Over,ScoreA,ScoreB
1,1/0,2/0
2,5/0,8/0
3,10/0,18/0
4,20/0,19/0
5,26/0,26/0
6,28/0,39/0
7,28/0,40/0
8,33/0,43/0
9,35/0,45/1
10,36/0,51/1
11,42/0,58/1
12,46/0,62/1
13,47/0,71/1
14,49/0,74/1
15,57/0,81/1
16,59/0,82/1
17,64/0,87/1
18,69/0,88/2
19,72/0,89/2
20,80/0,91/2
21,93/0,99/2
22,103/0,106/3
23,112/0,108/3
24,121/0,108/4
25,124/0,110/4
26,129/0,112/4
27,135/1,116/4
28,139/1,119/4
29,141/2,122/4
30,146/2,129/4
31,149/2,134/4
32,154/2,137/4
33,155/3,142/4
34,160/3,147/4
35,163/3,159/4
36,169/3,160/5
37,173/3,165/5
38,181/3,174/5
39,185/5,180/5
40,191/5,192/5
41,193/5,200/5
42,198/5,206/5
43,205/5,222/5
44,211/5,225/5
45,215/5,227/6
46,220/5,238/6
47,223/7,250/7
48,227/7,nil
49,235/7,nil
50,244/7,nil
