Over,ScoreA,ScoreB
1,3/0,3/1
2,11/0,5/2
3,16/0,9/2
4,17/1,12/2
5,18/1,29/2
6,23/1,33/2
7,25/1,40/2
8,34/1,46/2
9,35/2,48/3
10,36/2,55/3
11,44/2,56/4
12,44/2,58/4
13,47/2,60/4
14,52/2,64/4
15,55/2,65/5
16,57/2,68/5
17,63/2,72/5
18,65/2,78/5
19,70/2,85/5
20,73/3,91/5
21,79/3,99/5
22,85/3,109/5
23,89/3,111/5
24,98/3,114/5
25,102/3,119/5
26,103/4,130/6
27,113/4,141/6
28,121/4,145/6
29,127/4,150/6
30,133/4,154/7
31,145/4,157/7
32,151/4,161/7
33,159/4,163/7
34,166/4,167/7
35,175/4,171/7
36,183/4,178/7
37,188/4,181/7
38,195/4,186/7
39,198/4,190/7
40,202/5,200/7
41,206/5,200/9
42,210/5,215/9
43,215/5,217/9
44,219/5,222/10
45,228/5,nil
46,238/5,nil
47,245/6,nil
48,257/6,nil
49,267/7,nil
50,279/7,nil
