Over,ScoreA,ScoreB
1,2/1,1/1
2,7/1,2/1
3,17/1,18/1
4,19/1,19/1
5,21/1,20/1
6,33/2,24/1
7,41/2,38/1
8,42/3,39/1
9,47/3,47/1
10,55/3,56/1
11,58/3,59/1
12,58/3,63/1
13,60/3,74/1
14,67/3,78/1
15,69/3,83/1
16,71/3,86/1
17,79/3,93/1
18,84/3,100/2
19,92/3,107/2
20,100/3,116/2
21,100/3,124/2
22,104/3,127/2
23,107/3,134/2
24,109/3,139/2
25,114/3,154/2
26,119/3,161/3
27,120/3,164/4
28,125/4,172/4
29,129/4,173/4
30,131/4,183/5
31,132/4,184/5
32,144/4,190/5
33,153/4,199/5
34,158/4,201/5
35,161/4,212/5
36,168/4,218/5
37,175/4,230/5
38,181/4,237/5
39,194/4,253/5
40,209/4,263/5
41,217/4,269/5
42,220/4,284/5
43,232/4,289/5
44,250/4,295/6
45,259/4,296/7
46,271/4,300/7
47,281/4,308/8
48,293/4,319/8
49,312/4,325/8
50,328/5,329/9
