Over,ScoreA,ScoreB
1,3/0,4/0
2,15/0,12/0
3,22/0,14/0
4,25/0,18/1
5,30/1,20/1
6,36/1,27/1
7,45/1,32/1
8,49/1,43/1
9,49/2,49/1
10,52/2,50/1
11,58/2,55/1
12,61/2,59/1
13,65/2,67/1
14,66/2,71/1
15,67/2,79/1
16,72/2,82/1
17,76/2,85/1
18,80/2,89/1
19,82/3,96/1
20,86/3,107/1
21,88/3,110/1
22,95/3,112/2
23,104/3,115/2
24,105/3,115/2
25,107/3,117/2
26,110/3,121/2
27,113/3,127/3
28,115/3,134/3
29,115/5,140/3
30,118/5,149/3
31,121/5,160/3
32,123/5,162/3
33,125/5,167/3
34,132/5,169/3
35,133/6,175/3
36,137/6,182/3
37,138/7,187/3
38,144/8,192/3
39,145/8,195/3
40,150/8,212/3
41,151/8,221/4
42,154/8,nil
43,159/8,nil
44,166/8,nil
45,167/8,nil
46,175/8,nil
47,188/8,nil
48,202/8,nil
49,212/8,nil
50,217/9,nil
