Over,ScoreA,ScoreB
1,4/0,1/0
2,7/0,5/0
3,17/0,5/1
4,21/0,8/1
5,28/0,9/1
6,31/1,14/2
7,37/1,16/2
8,39/1,17/3
9,47/2,20/3
10,48/3,21/3
11,51/3,23/3
12,52/3,32/3
13,54/3,34/4
14,59/3,37/4
15,60/3,37/5
16,66/3,40/5
17,66/3,44/5
18,72/3,52/5
19,74/3,57/5
20,76/4,64/5
21,80/4,71/5
22,85/4,73/5
23,85/4,74/7
24,88/4,75/7
25,94/4,80/7
26,96/4,84/7
27,105/4,85/7
28,108/4,88/7
29,111/4,89/7
30,113/4,100/7
31,117/4,103/7
32,122/4,109/7
33,123/4,111/7
34,126/5,114/9
35,131/5,120/9
36,133/5,120/10
37,135/5,nil
38,142/5,nil
39,160/5,nil
40,161/5,nil
41,165/5,nil
42,173/5,nil
43,179/5,nil
44,182/5,nil
45,189/5,nil
46,201/5,nil
47,213/6,nil
48,222/7,nil
49,227/8,nil
50,237/9,nil
