Over,ScoreA,ScoreB
1,7/0,2/0
2,8/0,8/0
3,15/0,14/0
4,19/1,22/0
5,21/2,25/1
6,29/2,29/3
7,29/3,29/3
8,31/3,30/3
9,32/3,31/4
10,37/3,32/4
11,40/3,33/4
12,40/3,34/4
13,40/3,35/4
14,43/3,38/4
15,50/3,42/4
16,50/3,44/4
17,58/3,47/4
18,59/3,56/4
19,60/3,56/4
20,62/3,60/4
21,65/3,65/4
22,71/3,67/4
23,81/3,75/4
24,83/3,83/4
25,91/3,90/4
26,94/4,96/4
27,95/4,103/4
28,104/4,113/4
29,107/4,124/4
30,110/4,133/4
31,114/4,144/4
32,122/4,154/5
33,129/4,154/6
34,139/4,159/6
35,147/6,166/6
36,161/6,171/6
37,175/6,175/7
38,188/6,177/9
39,201/6,183/9
40,211/7,184/9
41,219/8,190/9
