Over,ScoreA,ScoreB
1,6/0,1/0
2,15/0,4/1
3,19/0,8/1
4,27/0,11/1
5,34/0,24/1
6,38/0,27/1
7,53/0,28/1
8,55/1,30/2
9,62/1,35/2
10,66/1,41/2
11,70/1,42/2
12,72/1,47/2
13,74/1,51/3
14,77/1,56/3
15,82/1,57/4
16,89/1,66/4
17,94/1,70/4
18,98/1,73/4
19,104/1,78/4
20,105/1,80/5
21,109/1,83/5
22,111/1,87/5
23,118/1,95/5
24,120/2,99/5
25,123/2,105/5
26,127/2,111/5
27,132/2,123/5
28,135/2,128/6
29,140/2,131/6
30,147/2,137/6
31,153/2,144/6
32,156/3,151/6
33,161/3,155/6
34,164/3,159/6
35,171/3,163/6
36,175/3,169/6
37,187/3,174/6
38,195/3,180/6
39,203/3,186/6
40,209/3,192/7
41,218/3,193/9
42,228/3,203/9
43,234/3,205/9
44,237/4,208/9
45,247/4,213/9
46,262/4,215/10
47,276/4,nil
48,290/4,nil
49,298/4,nil
50,302/6,nil
