Over,ScoreA,ScoreB
1,0/0,6/0
2,12/0,13/1
3,19/0,25/1
4,25/0,26/2
5,25/1,26/3
6,34/1,26/3
7,35/1,31/3
8,35/1,41/3
9,39/1,44/3
10,39/2,44/3
11,40/2,55/3
12,47/2,58/3
13,49/2,65/3
14,53/2,68/3
15,57/2,72/3
16,57/2,78/3
17,65/2,87/3
18,73/2,90/3
19,77/2,94/3
20,80/2,99/3
21,81/2,99/3
22,82/2,101/3
23,87/2,107/3
24,91/2,112/3
25,97/2,120/3
26,98/3,126/3
27,103/3,141/3
28,104/3,142/4
29,109/3,145/4
30,113/3,155/4
31,124/4,160/5
32,125/4,161/6
33,130/4,170/6
34,130/4,176/6
35,133/4,182/6
36,138/4,186/6
37,147/4,198/7
38,151/4,203/7
39,158/4,209/7
40,160/4,211/7
41,166/4,212/8
42,175/4,216/8
43,182/5,220/8
44,186/5,220/9
45,192/5,223/9
46,197/5,224/9
47,200/6,228/9
48,210/6,230/9
49,212/7,nil
50,229/7,nil
