Over,ScoreA,ScoreB
1,6/0,2/1
2,10/0,5/1
3,12/0,10/1
4,16/0,15/1
5,17/0,17/1
6,20/0,21/1
7,25/0,22/1
8,27/0,31/1
9,28/0,37/1
10,32/0,42/1
11,35/0,45/1
12,40/0,47/1
13,45/0,48/1
14,46/0,55/1
15,48/0,58/1
16,52/0,61/1
17,57/0,71/1
18,66/0,73/1
19,68/0,80/1
20,72/1,88/1
21,80/1,90/1
22,87/1,95/1
23,90/1,102/1
24,98/1,102/1
25,105/2,109/1
26,106/3,110/1
27,112/3,114/1
28,114/3,118/1
29,115/4,127/1
30,118/4,132/1
31,122/4,141/1
32,126/4,143/2
33,128/4,148/2
34,130/4,150/2
35,136/4,155/2
36,141/4,157/3
37,145/4,159/3
38,148/4,167/3
39,151/4,170/3
40,160/4,173/3
41,166/5,176/3
42,170/5,182/3
43,174/5,186/3
44,176/6,189/4
45,178/6,195/4
46,189/6,207/4
47,198/6,224/4
48,209/6,nil
49,215/8,nil
50,220/8,nil
