Over,ScoreA,ScoreB
1,3/0,8/1
2,9/0,8/1
3,20/0,16/1
4,22/0,21/1
5,24/1,31/1
6,30/1,42/1
7,32/2,46/1
8,37/2,52/1
9,37/3,53/1
10,44/3,55/1
11,47/3,60/1
12,48/3,64/2
13,50/3,65/2
14,53/3,69/2
15,64/3,73/2
16,70/3,75/2
17,71/3,77/2
18,74/3,77/3
19,76/3,78/3
20,80/3,80/3
21,84/3,85/3
22,85/3,92/3
23,91/3,94/3
24,94/3,100/3
25,97/3,106/3
26,98/4,108/4
27,104/5,110/5
28,105/5,111/5
29,106/5,113/5
30,112/5,120/5
31,117/5,128/5
32,119/5,130/5
33,129/5,134/5
34,133/5,138/5
35,139/5,140/6
36,147/5,145/6
37,155/5,150/6
38,160/6,156/6
39,160/7,160/6
40,164/7,169/6
41,171/7,176/6
42,175/7,189/6
43,180/7,192/6
44,187/8,196/6
45,200/8,206/6
46,216/8,208/7
47,220/9,212/7
48,227/9,213/9
49,231/9,219/9
50,241/9,221/10
