Over,ScoreA,ScoreB
1,4/0,4/0
2,7/0,5/0
3,13/1,12/0
4,19/1,22/0
5,23/2,25/0
6,27/2,28/0
7,29/2,33/1
8,35/2,34/2
9,41/2,36/2
10,43/2,37/2
11,45/2,53/2
12,49/2,54/2
13,52/2,65/2
14,59/2,67/2
15,60/2,73/2
16,64/2,79/2
17,64/2,83/3
18,68/2,87/3
19,72/2,88/3
20,75/2,89/4
21,78/2,93/4
22,81/2,95/5
23,85/2,100/5
24,93/2,103/6
25,100/2,106/6
26,104/2,112/6
27,109/2,115/7
28,112/2,119/7
29,115/2,121/7
30,124/2,123/7
31,128/2,127/7
32,132/2,134/8
33,138/2,140/8
34,141/2,144/9
35,155/2,153/10
36,162/2,nil
37,165/3,nil
38,170/3,nil
39,187/3,nil
40,202/3,nil
41,207/3,nil
42,210/4,nil
43,214/4,nil
44,219/4,nil
45,222/5,nil
46,225/6,nil
47,232/7,nil
48,243/8,nil
49,255/8,nil
50,265/9,nil
