Over,ScoreA,ScoreB
1,0/0,6/0
2,0/0,7/0
3,5/0,13/0
4,9/0,15/0
5,11/0,20/0
6,12/0,22/0
7,19/0,29/0
8,21/2,38/0
9,25/2,45/0
10,26/2,53/0
11,36/2,56/2
12,41/2,57/2
13,47/2,62/2
14,52/2,63/3
15,64/2,64/3
16,71/2,67/3
17,75/2,67/3
18,81/2,70/3
19,88/2,74/3
20,95/2,79/3
21,99/2,82/4
22,103/2,84/4
23,107/2,87/5
24,110/3,89/5
25,115/3,90/5
26,117/3,96/5
27,122/3,102/5
28,127/3,108/5
29,132/3,114/5
30,132/4,119/6
31,137/4,122/6
32,140/4,125/6
33,145/4,127/7
34,148/4,130/8
35,156/4,141/8
36,162/4,148/9
37,171/4,154/9
38,191/4,161/9
39,205/4,161/10
40,218/4,nil
41,228/4,nil
42,237/4,nil
43,249/4,nil
44,255/4,nil
45,265/4,nil
46,276/4,nil
47,281/5,nil
48,285/5,nil
49,291/6,nil
50,304/6,nil
