Over,ScoreA,ScoreB
1,6/0,4/0
2,9/0,11/0
3,12/1,17/0
4,12/1,22/0
5,15/1,26/0
6,25/1,39/0
7,26/1,47/0
8,27/1,50/1
9,29/1,59/1
10,36/1,64/1
11,43/1,64/2
12,52/1,65/2
13,56/1,70/2
14,60/1,75/2
15,64/1,80/2
16,73/1,85/2
17,79/1,90/2
18,85/1,96/2
19,92/1,104/2
20,98/1,110/2
21,107/1,118/2
22,112/1,123/3
23,117/1,127/3
24,127/1,137/3
25,132/2,143/3
26,135/2,149/3
27,138/2,156/3
28,145/2,160/3
29,152/2,165/3
30,160/2,169/4
31,166/2,172/5
32,171/2,181/5
33,176/2,187/5
34,183/2,192/5
35,188/2,204/5
36,197/2,212/6
37,204/2,216/7
38,210/2,219/8
39,219/2,228/8
40,227/2,237/8
41,233/2,246/8
42,244/3,262/8
43,258/3,265/9
44,268/3,273/9
45,280/3,273/10
46,293/3,nil
47,305/3,nil
48,322/3,nil
49,340/3,nil
50,359/3,nil
