Over,ScoreA,ScoreB
1,1/0,5/0
2,12/0,8/0
3,13/0,14/0
4,18/0,22/0
5,25/1,32/0
6,26/1,37/0
7,31/1,48/0
8,33/1,52/0
9,42/1,59/0
10,55/1,66/0
11,63/1,72/0
12,67/1,77/0
13,72/1,81/0
14,75/1,92/0
15,80/1,98/0
16,83/1,106/1
17,92/1,108/1
18,92/1,113/1
19,102/1,122/1
20,104/2,127/2
21,104/2,132/2
22,105/3,139/2
23,106/3,150/2
24,109/4,156/2
25,114/4,160/2
26,118/4,163/2
27,120/4,164/2
28,120/4,168/2
29,128/4,175/2
30,129/4,179/2
31,136/4,182/2
32,138/4,193/2
33,140/4,195/2
34,140/5,197/2
35,141/5,203/2
36,154/5,211/2
37,158/5,219/2
38,163/6,226/2
39,164/6,232/2
40,165/6,236/2
41,168/6,nil
42,171/6,nil
43,173/7,nil
44,179/8,nil
45,182/8,nil
46,182/9,nil
47,191/9,nil
48,198/9,nil
49,219/9,nil
50,233/9,nil
