Over,ScoreA,ScoreB
1,6/0,6/0
2,12/0,14/0
3,16/0,15/0
4,18/0,30/0
5,26/0,43/0
6,26/0,49/0
7,30/0,59/0
8,33/0,73/1
9,34/0,80/1
10,38/0,82/3
11,43/0,84/3
12,46/0,84/3
13,47/0,87/3
14,53/0,94/3
15,56/0,99/4
16,57/1,101/4
17,58/1,103/4
18,60/1,114/4
19,64/2,123/4
20,70/2,128/4
21,72/2,131/4
22,76/2,137/4
23,80/2,139/4
24,84/2,139/5
25,84/2,140/5
26,90/2,143/5
27,97/2,146/5
28,99/2,154/5
29,100/3,162/5
30,100/4,163/5
31,101/5,167/5
32,102/5,169/5
33,104/5,170/5
34,107/5,172/5
35,113/6,186/5
36,115/6,187/5
37,123/6,191/5
38,127/6,nil
39,131/7,nil
40,134/7,nil
41,136/7,nil
42,147/7,nil
43,164/8,nil
44,176/8,nil
45,180/8,nil
46,189/8,nil
47,189/10,nil
