Over,ScoreA,ScoreB
1,4/0,4/0
2,6/0,6/0
3,7/0,6/1
4,10/0,6/1
5,15/0,11/1
6,20/0,20/1
7,24/0,23/2
8,32/0,27/2
9,33/0,nil
10,43/0,nil
11,48/0,nil
12,58/0,nil
13,67/0,nil
14,69/0,nil
15,78/0,nil
16,82/1,nil
17,86/1,nil
18,88/2,nil
19,90/2,nil
20,91/2,nil
21,99/2,nil
22,104/2,nil
23,109/2,nil
24,114/2,nil
25,116/2,nil
26,119/2,nil
27,131/2,nil
28,134/2,nil
29,143/2,nil
30,146/2,nil
31,153/2,nil
32,160/2,nil
33,167/2,nil
34,172/2,nil
35,179/2,nil
36,185/2,nil
37,190/3,nil
38,194/3,nil
39,202/3,nil
40,207/4,nil
41,216/4,nil
42,220/4,nil
43,228/4,nil
44,232/4,nil
45,244/4,nil
46,249/4,nil
47,254/4,nil
48,263/4,nil
49,270/5,nil
50,274/7,nil
