Over,ScoreA,ScoreB
1,0/1,2/0
2,4/1,9/0
3,5/1,14/0
4,7/2,16/1
5,15/2,19/1
6,17/2,20/1
7,21/2,23/1
8,27/2,24/2
9,32/2,29/2
10,40/2,29/3
11,41/2,31/3
12,46/2,38/3
13,46/2,39/3
14,48/3,40/4
15,55/3,40/5
16,60/3,42/5
17,65/3,42/5
18,68/3,46/5
19,69/3,47/6
20,71/4,57/6
21,73/4,58/6
22,83/4,62/6
23,86/4,63/6
24,88/4,68/6
25,95/4,70/6
26,99/4,71/6
27,103/4,78/6
28,109/4,79/6
29,115/4,85/6
30,119/4,91/6
31,125/4,92/6
32,129/4,94/6
33,132/4,95/7
34,138/4,102/7
35,144/4,111/7
36,148/4,115/7
37,151/4,120/8
38,155/4,123/8
39,165/4,131/8
40,171/4,136/8
41,176/4,140/8
42,187/4,146/8
43,191/5,148/8
44,195/5,154/8
45,202/5,158/9
46,207/5,160/9
47,209/6,161/9
48,216/6,181/9
49,228/7,181/10
50,246/7,nil
