Over,ScoreA,ScoreB
1,1/0,3/0
2,6/0,3/0
3,15/0,8/1
4,18/0,8/1
5,24/1,9/1
6,25/1,14/1
7,25/1,14/2
8,28/1,14/2
9,37/2,15/2
10,38/3,22/2
11,40/3,22/2
12,42/3,24/2
13,43/3,28/2
14,43/3,29/2
15,61/3,37/2
16,63/4,43/2
17,63/4,48/2
18,64/4,51/2
19,67/4,55/2
20,75/4,56/2
21,84/4,68/3
22,87/4,72/3
23,90/4,74/3
24,92/4,76/3
25,95/4,85/3
26,96/4,87/3
27,97/4,90/3
28,111/4,95/3
29,111/6,96/3
30,118/6,97/3
31,119/6,102/3
32,123/6,102/3
33,125/6,110/3
34,127/6,113/3
35,131/7,113/4
36,133/7,115/4
37,139/7,120/5
38,141/8,123/5
39,149/8,124/5
40,150/8,125/6
41,154/8,130/6
42,160/9,134/6
43,161/9,138/6
44,167/10,141/6
45,143/6,nil
5.00,25,nil
1,3.13,nil
24,47,nil
2.20,7.66,nil
145/9,0,nil
23,12,nil
3.21*,3.31*,nil
