Over,ScoreA,ScoreB
1,1/0,5/1
2,5/1,8/1
3,9/1,14/1
4,12/1,20/1
5,15/1,21/1
6,25/1,26/1
7,29/1,27/1
8,34/1,35/1
9,36/1,41/1
10,46/1,46/1
11,49/1,48/1
12,54/1,50/1
13,59/1,53/2
14,63/1,63/2
15,71/1,66/2
16,79/1,68/4
17,84/1,69/4
18,87/1,75/4
19,94/1,81/4
20,98/1,92/4
21,104/1,99/4
22,110/1,105/4
23,112/2,110/4
24,116/2,120/4
25,119/2,123/4
26,121/2,126/4
27,124/2,129/4
28,127/2,133/4
29,132/2,137/4
30,135/3,143/4
31,136/3,146/4
32,139/3,149/4
33,144/3,153/4
34,146/4,154/4
35,153/4,158/4
36,157/4,160/4
37,159/4,163/4
38,168/4,173/4
39,173/4,174/4
40,179/4,177/5
41,186/4,179/5
42,190/4,191/5
43,200/4,194/5
44,204/5,203/5
45,208/5,212/5
46,214/5,215/5
47,219/6,224/5
48,225/7,230/5
49,235/8,236/6
50,237/10,241/6
