Over,ScoreA,ScoreB
1,0/0,2/0
2,1/0,11/0
3,7/0,12/0
4,16/0,17/0
5,23/0,21/0
6,27/1,23/0
7,35/1,23/0
8,38/1,26/0
9,46/1,29/0
10,53/1,33/0
11,58/1,35/0
12,58/2,37/0
13,61/2,41/0
14,64/2,51/0
15,67/2,55/0
16,69/2,60/0
17,76/2,64/0
18,76/2,66/0
19,81/2,66/1
20,88/2,69/1
21,91/3,71/1
22,102/3,74/1
23,106/3,76/1
24,109/4,77/1
25,116/4,79/1
26,118/4,85/1
27,122/4,91/1
28,127/4,98/1
29,129/4,104/1
30,130/4,108/1
31,137/4,117/1
32,144/4,121/1
33,147/5,132/1
34,149/6,134/2
35,157/6,136/2
36,165/6,140/2
37,167/6,152/2
38,173/6,157/2
39,175/7,163/2
40,183/7,170/2
41,183/7,176/2
42,184/7,179/2
43,189/8,184/2
44,193/9,188/2
45,194/9,192/2
46,194/9,196/3
47,198/9,211/3
48,199/9,223/3
49,210/9,nil
50,220/10,nil
