Over,ScoreA,ScoreB
1,3/0,5/0
2,7/0,17/0
3,9/0,27/0
4,15/0,33/0
5,24/0,40/0
6,30/0,46/0
7,41/0,47/1
8,55/0,49/1
9,65/0,52/1
10,73/0,56/1
11,76/0,58/1
12,87/0,59/1
13,91/1,67/1
14,102/1,72/1
15,106/1,74/1
16,107/1,77/1
17,109/1,87/1
18,115/1,90/1
19,120/1,96/1
20,125/1,110/1
21,134/1,110/2
22,139/2,113/2
23,142/2,118/2
24,146/2,121/2
25,148/2,129/2
26,154/2,132/3
27,161/2,139/3
28,163/2,145/3
29,172/2,148/3
30,174/2,160/3
31,177/2,169/3
32,182/2,174/4
33,189/2,178/4
34,193/3,185/4
35,199/3,189/4
36,206/4,193/5
37,207/4,199/5
38,211/4,211/5
39,216/5,222/5
40,223/5,222/6
41,226/5,225/6
42,230/5,231/7
43,240/5,237/7
44,247/5,242/8
45,258/5,247/9
46,270/5,249/9
47,280/5,256/9
48,290/6,259/10
49,306/6,nil
50,316/8,nil
