Over,ScoreA,ScoreB
1,6/0,3/0
2,9/0,5/0
3,9/0,11/0
4,9/1,16/0
5,13/1,18/0
6,15/1,18/0
7,15/1,22/0
8,25/1,28/0
9,26/1,32/0
10,27/2,34/2
11,27/3,34/3
12,32/3,34/3
13,38/3,34/3
14,40/3,37/3
15,42/3,47/3
16,46/3,55/3
17,47/3,60/3
18,49/3,62/3
19,58/3,63/3
20,59/3,65/3
21,66/3,68/3
22,69/3,72/3
23,73/3,75/3
24,77/3,81/3
25,83/3,83/3
26,90/3,84/4
27,95/3,93/4
28,99/3,96/4
29,105/3,111/4
30,106/3,113/4
31,111/4,119/5
32,113/4,122/6
33,116/4,124/6
34,120/4,128/6
35,125/4,135/6
36,136/4,148/6
37,140/4,152/6
38,144/4,156/7
39,150/4,159/7
40,159/4,163/7
41,168/4,164/8
42,179/4,168/8
43,184/6,172/8
44,191/6,185/8
45,199/6,190/8
46,205/6,192/8
47,214/6,198/9
48,218/6,198/10
49,222/7,nil
50,237/8,nil
