Over,ScoreA,ScoreB
1,6/0,1/0
2,10/0,11/0
3,17/0,13/0
4,19/0,19/0
5,25/0,20/1
6,31/0,22/2
7,33/0,27/3
8,43/0,30/3
9,48/0,38/3
10,50/1,45/3
11,53/1,51/3
12,57/1,54/3
13,62/1,62/3
14,68/1,69/3
15,73/2,70/3
16,80/2,74/3
17,85/2,78/3
18,87/2,81/3
19,96/2,86/3
20,96/3,89/3
21,102/3,92/3
22,113/3,96/4
23,115/4,98/5
24,116/4,100/5
25,121/4,103/5
26,124/4,105/6
27,127/4,108/6
28,128/4,115/6
29,128/4,118/6
30,133/4,122/6
31,140/4,128/6
32,142/4,128/6
33,150/4,128/8
34,154/4,129/8
35,161/4,134/8
36,165/4,135/8
37,173/4,145/8
38,178/4,145/9
39,180/5,149/9
40,185/5,161/9
41,190/6,163/9
42,190/6,173/9
43,194/6,178/9
44,197/6,187/9
45,212/6,192/9
46,214/7,198/10
47,228/7,nil
48,233/7,nil
49,243/9,nil
50,249/10,nil
