Over,ScoreA,ScoreB
1,5/0,0/0
2,6/0,5/0
3,9/0,11/0
4,13/0,15/1
5,15/0,18/1
6,18/0,24/1
7,27/0,32/1
8,31/0,40/1
9,37/0,45/1
10,44/0,50/1
11,46/0,56/1
12,57/0,58/1
13,61/2,63/1
14,62/2,68/1
15,71/3,72/1
16,74/3,78/1
17,78/3,84/1
18,80/4,89/1
19,90/4,93/1
20,99/4,95/1
21,101/4,100/1
22,110/4,105/1
23,110/5,113/1
24,114/5,114/1
25,116/5,117/1
26,117/5,124/1
27,121/5,126/2
28,129/5,126/2
29,135/5,138/2
30,148/5,141/2
31,152/5,142/2
32,153/5,146/2
33,157/5,153/2
34,163/5,160/3
35,164/5,165/3
36,168/6,166/3
37,169/6,169/3
38,170/6,175/4
39,171/7,177/4
40,178/7,182/5
41,183/7,186/5
42,187/7,189/5
43,190/7,192/5
44,195/7,194/5
45,203/7,218/5
46,210/8,222/5
47,217/8,228/6
48,225/9,nil
49,227/9,nil
50,227/10,nil
