Over,ScoreA,ScoreB
1,3/0,0/0
2,10/0,6/1
3,14/0,8/2
4,18/0,12/3
5,26/0,12/3
6,28/0,16/3
7,33/0,16/3
8,37/0,17/3
9,42/0,19/3
10,54/0,20/3
11,59/0,25/3
12,63/1,27/3
13,65/1,29/3
14,71/1,34/3
15,73/1,36/3
16,78/1,38/3
17,83/1,41/3
18,86/1,42/4
19,88/1,44/4
20,92/2,47/4
21,97/2,53/4
22,104/2,55/5
23,107/2,62/5
24,112/2,68/5
25,122/2,68/6
26,125/2,73/6
27,138/2,75/7
28,147/2,86/7
29,155/2,86/7
30,165/2,95/7
31,176/2,102/7
32,182/2,104/8
33,189/2,111/8
34,196/2,113/9
35,208/2,115/9
36,215/2,119/9
37,229/2,122/10
38,236/2,nil
39,242/2,nil
40,247/2,nil
41,256/2,nil
42,267/3,nil
43,273/3,nil
44,276/4,nil
45,284/4,nil
46,295/5,nil
47,305/6,nil
48,313/6,nil
49,320/7,nil
50,332/7,nil
